lemma,level,english,example_de,example_en,comparative,superlative,approved,sources_csv,source_notes
menschlich,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/menschlich
merkwürdig,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/merkw%C3%BCrdig
mild,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/mild
minimal,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/minimal
mittler,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/mittler
mobil,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/mobil
musikalisch,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/musikalisch
mutig,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/mutig
mündlich,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/m%C3%BCndlich
nah,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/nah
nahe,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/nahe
